foil_1,foil_2
TRANSFORM,FINANCIAL
LICENCE,DIMENSION
POWER,SECULAR
SLOGAN,CREATION
FRIGHTEN,BEHAVIOUR
DISCLOSE,DEVELOP
PETTY,COUNTRYSIDE
LEGEND,REFLECTION
TITLE,PRECISION
HALLWAY,SENTIMENT
SLOGAN,SOPRANO
HERO,PRODUCER
